School|st_ratio
MARION C COOK SCHOOL|-
MID-COAST SCH OF TECH-REGION 8|-
MID-MAINE TECHNICAL CENTER|-
NEWBURGH ELEMENTARY SCHOOL|-
NO PENOBSCOT TECH-REGION 3|-
OXFORD HILLS TECH - REGION 11|-
PORTLAND ARTS & TECHNOLOGY H S|-
PRESQUE ISLE REG CAREER & TECH CTR|-
REEDS BROOK MIDDLE SCHOOL|-
REGION 9 SCH OF APPLIED TECHNOLOGY|-
REGION TWO SCH OF APPLIED TECH|-
SAMUEL L WAGNER MIDDLE SCHOOL|-
SANFORD REGIONAL TECHNICAL CENTER|-
SKYWAY EDUCATION LEARNING CENTER|-
SOMERSET CAREER & TECHNICAL CENTER|-
SOMERVILLE ELEMENTARY SCHOOL|-
ST CROIX REGIONAL TECHNICAL CENTER|-
ST JOHN VALLEY TECHNOLOGY CENTER|-
STRATTON SCHOOL|-
TRI-COUNTY TECHNICAL CENTER|-
UNITED TECHNOLOGIES CTR-REGION 4|-
VAN BUREN REGIONAL TECHNOLOGY CTR|-
VEAZIE COMMUNITY SCHOOL|-
WALDO COUNTY TECH CTR-REGION 7|-
WESTBROOK REGIONAL TECHNOLOGY CTR|-
MATINICUS ELEMENTARY SCHOOL|-
STOCKTON SPRINGS ELEMENTARY SCH|-
